代码,简称,日期,收盘价(元),涨跌幅(%),
000300.SH,沪深300,2018-01-05,4138.7505,2.6767,
000300.SH,沪深300,2018-01-12,4225.001,2.084,
000300.SH,沪深300,2018-01-19,4285.395,1.4294,
000300.SH,沪深300,2018-01-26,4381.2996,2.2379,
000300.SH,沪深300,2018-02-02,4271.2326,-2.5122,
000300.SH,沪深300,2018-02-09,3840.6527,-10.0809,
000300.SH,沪深300,2018-02-14,3966.9614,3.2887,
000300.SH,沪深300,2018-02-23,4071.0889,2.6249,
000300.SH,沪深300,2018-03-02,4016.461,-1.3418,
000300.SH,沪深300,2018-03-09,4108.8652,2.3006,
000300.SH,沪深300,2018-03-16,4056.4226,-1.2763,
000300.SH,沪深300,2018-03-23,3904.9355,-3.7345,
000300.SH,沪深300,2018-03-30,3898.4977,-0.1649,
000300.SH,沪深300,2018-04-04,3854.8625,-1.1193,
000300.SH,沪深300,2018-04-13,3871.1443,0.4224,
000300.SH,沪深300,2018-04-20,3760.8543,-2.849,
000300.SH,沪深300,2018-04-27,3756.8765,-0.1058,
000300.SH,沪深300,2018-05-04,3774.5981,0.4717,
000300.SH,沪深300,2018-05-11,3872.8383,2.6027,
000300.SH,沪深300,2018-05-18,3903.0637,0.7804,
000300.SH,沪深300,2018-05-25,3816.498,-2.2179,
000300.SH,沪深300,2018-06-01,3770.5891,-1.2029,
000300.SH,沪深300,2018-06-08,3779.6159,0.2394,
000300.SH,沪深300,2018-06-15,3753.4338,-0.6927,
000300.SH,沪深300,2018-06-22,3608.9046,-3.8506,
000300.SH,沪深300,2018-06-29,3510.9845,-2.7133,
000300.SH,沪深300,2018-07-06,3365.1227,-4.1544,
000300.SH,沪深300,2018-07-13,3492.6897,3.7909,
000300.SH,沪深300,2018-07-20,3492.8938,0.0058,
000300.SH,沪深300,2018-07-27,3521.2269,0.8112,
000300.SH,沪深300,2018-08-03,3315.2839,-5.8486,
000300.SH,沪深300,2018-08-10,3405.0191,2.7067,
000300.SH,沪深300,2018-08-17,3229.6198,-5.1512,
000300.SH,沪深300,2018-08-24,3325.3347,2.9637,
000300.SH,沪深300,2018-08-31,3334.5036,0.2757,
000300.SH,沪深300,2018-09-07,3277.6438,-1.7052,
000300.SH,沪深300,2018-09-14,3242.0902,-1.0847,
000300.SH,沪深300,2018-09-21,3410.4856,5.194,
000300.SH,沪深300,2018-09-28,3438.8649,0.8321,
000300.SH,沪深300,2018-10-12,3170.7262,-7.7973,
000300.SH,沪深300,2018-10-19,3134.9455,-1.1285,
000300.SH,沪深300,2018-10-26,3173.635,1.2341,
000300.SH,沪深300,2018-11-02,3290.2455,3.6744,
000300.SH,沪深300,2018-11-09,3167.4442,-3.7323,
000300.SH,沪深300,2018-11-16,3257.6735,2.8486,
000300.SH,沪深300,2018-11-23,3143.4752,-3.5055,
000300.SH,沪深300,2018-11-30,3172.69,0.9294,
000300.SH,沪深300,2018-12-07,3181.5646,0.2797,
000300.SH,沪深300,2018-12-14,3165.9109,-0.492,
000300.SH,沪深300,2018-12-21,3029.3951,-4.3121,
000300.SH,沪深300,2018-12-28,3010.6536,-0.6187,
000300.SH,沪深300,2019-01-04,3035.8741,0.8377,
000300.SH,沪深300,2019-01-11,3094.7782,1.9403,
000300.SH,沪深300,2019-01-18,3168.1739,2.3716,
000300.SH,沪深300,2019-01-25,3184.4696,0.5144,
000300.SH,沪深300,2019-02-01,3247.3971,1.9761,
000300.SH,沪深300,2019-02-15,3338.7047,2.8117,
000300.SH,沪深300,2019-02-22,3520.1182,5.4336,
000300.SH,沪深300,2019-03-01,3749.7143,6.5224,
000300.SH,沪深300,2019-03-08,3657.579,-2.4571,
000300.SH,沪深300,2019-03-15,3745.005,2.3903,
000300.SH,沪深300,2019-03-22,3833.8013,2.3711,
000300.SH,沪深300,2019-03-29,3872.3412,1.0053,
000300.SH,沪深300,2019-04-04,4062.2309,4.9037,
000300.SH,沪深300,2019-04-12,3988.6168,-1.8122,
000300.SH,沪深300,2019-04-19,4120.6078,3.3092,
000300.SH,沪深300,2019-04-26,3889.2748,-5.6141,
000300.SH,沪深300,2019-04-30,3913.211,0.6154,
000300.SH,沪深300,2019-05-10,3730.4513,-4.6703,
000300.SH,沪深300,2019-05-17,3648.7609,-2.1898,
