IBOInstrCd,IBOInstrNm,TrdDt,WghAvgPr
"SIBO1D","Shibor-隔夜",2018-01-02,"2.6570000000"
"SIBO1D","Shibor-隔夜",2018-01-03,"2.5635000000"
"SIBO1D","Shibor-隔夜",2018-01-04,"2.5050000000"
"SIBO1D","Shibor-隔夜",2018-01-05,"2.4840000000"
"SIBO1D","Shibor-隔夜",2018-01-08,"2.4610000000"
"SIBO1D","Shibor-隔夜",2018-01-09,"2.5290000000"
"SIBO1D","Shibor-隔夜",2018-01-10,"2.6430000000"
"SIBO1D","Shibor-隔夜",2018-01-11,"2.8320000000"
"SIBO1D","Shibor-隔夜",2018-01-12,"2.8300000000"
"SIBO1D","Shibor-隔夜",2018-01-15,"2.7940000000"
"SIBO1D","Shibor-隔夜",2018-01-16,"2.7850000000"
"SIBO1D","Shibor-隔夜",2018-01-17,"2.7650000000"
"SIBO1D","Shibor-隔夜",2018-01-18,"2.7655000000"
"SIBO1D","Shibor-隔夜",2018-01-19,"2.8360000000"
"SIBO1D","Shibor-隔夜",2018-01-22,"2.7710000000"
"SIBO1D","Shibor-隔夜",2018-01-23,"2.6020000000"
"SIBO1D","Shibor-隔夜",2018-01-24,"2.5740000000"
"SIBO1D","Shibor-隔夜",2018-01-25,"2.5634000000"
"SIBO1D","Shibor-隔夜",2018-01-26,"2.5506000000"
"SIBO1D","Shibor-隔夜",2018-01-29,"2.5660000000"
"SIBO1D","Shibor-隔夜",2018-01-30,"2.5540000000"
"SIBO1D","Shibor-隔夜",2018-01-31,"2.5940000000"
"SIBO1D","Shibor-隔夜",2018-02-01,"2.5154000000"
"SIBO1D","Shibor-隔夜",2018-02-02,"2.5173000000"
"SIBO1D","Shibor-隔夜",2018-02-05,"2.5305000000"
"SIBO1D","Shibor-隔夜",2018-02-06,"2.5390000000"
"SIBO1D","Shibor-隔夜",2018-02-07,"2.5710000000"
"SIBO1D","Shibor-隔夜",2018-02-08,"2.5720000000"
"SIBO1D","Shibor-隔夜",2018-02-09,"2.5890000000"
"SIBO1D","Shibor-隔夜",2018-02-11,"2.6080000000"
"SIBO1D","Shibor-隔夜",2018-02-12,"2.5850000000"
"SIBO1D","Shibor-隔夜",2018-02-13,"2.5870000000"
"SIBO1D","Shibor-隔夜",2018-02-14,"2.7230000000"
"SIBO1D","Shibor-隔夜",2018-02-22,"2.6310000000"
"SIBO1D","Shibor-隔夜",2018-02-23,"2.5970000000"
"SIBO1D","Shibor-隔夜",2018-02-24,"2.5600000000"
"SIBO1D","Shibor-隔夜",2018-02-26,"2.5710000000"
"SIBO1D","Shibor-隔夜",2018-02-27,"2.5610000000"
"SIBO1D","Shibor-隔夜",2018-02-28,"2.7080000000"
"SIBO1D","Shibor-隔夜",2018-03-01,"2.6910000000"
"SIBO1D","Shibor-隔夜",2018-03-02,"2.7730000000"
"SIBO1D","Shibor-隔夜",2018-03-05,"2.6520000000"
"SIBO1D","Shibor-隔夜",2018-03-06,"2.6170000000"
"SIBO1D","Shibor-隔夜",2018-03-07,"2.5920000000"
"SIBO1D","Shibor-隔夜",2018-03-08,"2.5700000000"
"SIBO1D","Shibor-隔夜",2018-03-09,"2.5730000000"
"SIBO1D","Shibor-隔夜",2018-03-12,"2.5860000000"
"SIBO1D","Shibor-隔夜",2018-03-13,"2.6370000000"
"SIBO1D","Shibor-隔夜",2018-03-14,"2.6330000000"
"SIBO1D","Shibor-隔夜",2018-03-15,"2.6320000000"
"SIBO1D","Shibor-隔夜",2018-03-16,"2.5860000000"
"SIBO1D","Shibor-隔夜",2018-03-19,"2.5610000000"
"SIBO1D","Shibor-隔夜",2018-03-20,"2.5580000000"
"SIBO1D","Shibor-隔夜",2018-03-21,"2.5590000000"
"SIBO1D","Shibor-隔夜",2018-03-22,"2.5490000000"
"SIBO1D","Shibor-隔夜",2018-03-23,"2.5450000000"
"SIBO1D","Shibor-隔夜",2018-03-26,"2.5430000000"
"SIBO1D","Shibor-隔夜",2018-03-27,"2.5935000000"
"SIBO1D","Shibor-隔夜",2018-03-28,"2.5920000000"
"SIBO1D","Shibor-隔夜",2018-03-29,"2.5810000000"
"SIBO1D","Shibor-隔夜",2018-03-30,"2.6900000000"
"SIBO1D","Shibor-隔夜",2018-04-02,"2.6220000000"
"SIBO1D","Shibor-隔夜",2018-04-03,"2.5740000000"
"SIBO1D","Shibor-隔夜",2018-04-04,"2.4690000000"
"SIBO1D","Shibor-隔夜",2018-04-08,"2.4460000000"
"SIBO1D","Shibor-隔夜",2018-04-09,"2.5280000000"
"SIBO1D","Shibor-隔夜",2018-04-10,"2.5510000000"
"SIBO1D","Shibor-隔夜",2018-04-11,"2.5610000000"
"SIBO1D","Shibor-隔夜",2018-04-12,"2.5570000000"
"SIBO1D","Shibor-隔夜",2018-04-13,"2.5570000000"
"SIBO1D","Shibor-隔夜",2018-04-16,"2.5820000000"
"SIBO1D","Shibor-隔夜",2018-04-17,"2.6650000000"
"SIBO1D","Shibor-隔夜",2018-04-18,"2.6790000000"
"SIBO1D","Shibor-隔夜",2018-04-19,"2.7330000000"
"SIBO1D","Shibor-隔夜",2018-04-20,"2.7470000000"
"SIBO1D","Shibor-隔夜",2018-04-23,"2.7240000000"
"SIBO1D","Shibor-隔夜",2018-04-24,"2.7360000000"
"SIBO1D","Shibor-隔夜",2018-04-25,"2.7280000000"
"SIBO1D","Shibor-隔夜",2018-04-26,"2.7650000000"
"SIBO1D","Shibor-隔夜",2018-04-27,"2.9210000000"
"SIBO1D","Shibor-隔夜",2018-04-28,"2.8240000000"
"SIBO1D","Shibor-隔夜",2018-05-02,"2.7200000000"
"SIBO1D","Shibor-隔夜",2018-05-03,"2.6810000000"
"SIBO1D","Shibor-隔夜",2018-05-04,"2.5940000000"
"SIBO1D","Shibor-隔夜",2018-05-07,"2.5820000000"
"SIBO1D","Shibor-隔夜",2018-05-08,"2.5750000000"
"SIBO1D","Shibor-隔夜",2018-05-09,"2.5200000000"
"SIBO1D","Shibor-隔夜",2018-05-10,"2.5090000000"
"SIBO1D","Shibor-隔夜",2018-05-11,"2.4870000000"
"SIBO1D","Shibor-隔夜",2018-05-14,"2.5800000000"
"SIBO1D","Shibor-隔夜",2018-05-15,"2.6410000000"
"SIBO1D","Shibor-隔夜",2018-05-16,"2.7660000000"
"SIBO1D","Shibor-隔夜",2018-05-17,"2.5970000000"
"SIBO1D","Shibor-隔夜",2018-05-18,"2.5630000000"
"SIBO1D","Shibor-隔夜",2018-05-21,"2.5270000000"
"SIBO1D","Shibor-隔夜",2018-05-22,"2.5250000000"
"SIBO1D","Shibor-隔夜",2018-05-23,"2.5300000000"
"SIBO1D","Shibor-隔夜",2018-05-24,"2.5300000000"
"SIBO1D","Shibor-隔夜",2018-05-25,"2.5280000000"
"SIBO1D","Shibor-隔夜",2018-05-28,"2.5330000000"
"SIBO1D","Shibor-隔夜",2018-05-29,"2.7420000000"
"SIBO1D","Shibor-隔夜",2018-05-30,"2.8840000000"
"SIBO1D","Shibor-隔夜",2018-05-31,"2.8310000000"
"SIBO1D","Shibor-隔夜",2018-06-01,"2.8010000000"
"SIBO1D","Shibor-隔夜",2018-06-04,"2.5990000000"
"SIBO1D","Shibor-隔夜",2018-06-05,"2.5840000000"
"SIBO1D","Shibor-隔夜",2018-06-06,"2.5620000000"
"SIBO1D","Shibor-隔夜",2018-06-07,"2.5550000000"
"SIBO1D","Shibor-隔夜",2018-06-08,"2.5630000000"
"SIBO1D","Shibor-隔夜",2018-06-11,"2.5730000000"
"SIBO1D","Shibor-隔夜",2018-06-12,"2.5840000000"
