Date,Rmrf_tmv,Smb_tmv,Hml_tmv
2018-01-05,"0.0263","-0.0124","0.0113"
2018-01-12,"0.0099","-0.0173","-0.0023"
2018-01-19,"0.0052","-0.0083","0.0247"
2018-01-26,"0.0201","-0.0129","0.0066"
2018-02-02,"-0.0403","-0.0488","0.0315"
2018-02-09,"-0.0963","0.0180","-0.0129"
2018-02-14,"0.0284","-0.0067","-0.0102"
2018-02-23,"0.0263","-0.0061","0.0032"
2018-03-02,"-0.0002","0.0277","-0.0304"
2018-03-09,"0.0213","0.0089","-0.0103"
2018-03-16,"-0.0116","0.0083","-0.0020"
2018-03-23,"-0.0434","-0.0077","-0.0075"
2018-03-30,"0.0176","0.0328","-0.0218"
2018-04-04,"-0.0140","0.0025","0.0013"
2018-04-13,"0.0046","-0.0019","0.0065"
2018-04-20,"-0.0289","-0.0082","0.0001"
2018-04-27,"0.0014","0.0017","0.0015"
2018-05-04,"0.0042","-0.0069","0.0011"
2018-05-11,"0.0229","-0.0050","-0.0065"
2018-05-18,"0.0062","-0.0076","0.0054"
2018-05-25,"-0.0182","0.0099","-0.0060"
2018-06-01,"-0.0255","-0.0262","0.0052"
2018-06-08,"-0.0002","-0.0128","-0.0066"
2018-06-15,"-0.0193","-0.0235","0.0220"
2018-06-22,"-0.0477","-0.0322","0.0111"
2018-06-29,"-0.0103","0.0273","-0.0102"
2018-07-06,"-0.0399","0.0125","-0.0010"
2018-07-13,"0.0399","-0.0176","-0.0219"
2018-07-20,"-0.0009","0.0069","0.0062"
2018-07-27,"0.0139","0.0183","0.0208"
2018-08-03,"-0.0560","-0.0023","0.0280"
2018-08-10,"0.0224","-0.0013","0.0072"
2018-08-17,"-0.0475","0.0081","0.0094"
2018-08-24,"0.0201","-0.0083","-0.0020"
2018-08-31,"-0.0026","-0.0107","0.0039"
2018-09-07,"-0.0114","0.0124","0.0016"
2018-09-14,"-0.0124","0.0034","0.0208"
2018-09-21,"0.0417","-0.0177","-0.0036"
2018-09-28,"0.0052","-0.0213","0.0047"
2018-10-12,"-0.0853","-0.0205","0.0207"
